,shape_id,label,text,top,bottom,left,right,width,height,section_type,i,parent_i,index,shape_name,cells,,shape_count,timestamp
16,"['564.0.2', '564.1.2', '564.2.2', '564.3.2', '564.4.2', '564.5.2', '564.6.2', '564.7.2', '564.8.2', '564.9.2', '564.10.2', '564.11.2', '564.12.2', '564.13.2', '571', '572', '573', '582', '583', '584', '585', '586', '587', '588', '589', '602', '603']",Impact onKPMG’s business lines,Impact onKPMG’s business lines             ,92.64307404,327.5485811,469.9803162,619.4468536,149.4665375,234.9055071,col,,,3.03,564,"['0.2', '1.2', '2.2', '3.2', '4.2', '5.2', '6.2', '7.2', '8.2', '9.2', '10.2', '11.2', '12.2', '13.2']",,,
17,['571'],harvey ball,,121.9810257,138.3016548,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,18,,03.03.01,,,,,
18,['572'],harvey ball,,153.54599,169.8666191,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,19,,03.03.02,,,,,
19,['573'],harvey ball,,169.3285065,185.6491356,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,20,,03.03.03,,,,,
20,['582'],,,311.3710327,327.6916618,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,5,,03.03.04,,,,,
21,['583'],harvey ball,,264.0235291,280.3441582,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,28,,03.03.05,,,,,
22,['584'],harvey ball,,232.4585876,248.7792168,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,29,,03.03.06,,,,,
23,['585'],harvey ball,,216.6760559,232.996685,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,30,,03.03.07,,,,,
24,['586'],harvey ball,,200.8935394,217.2141685,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,31,,03.03.08,,,,,
25,['587'],harvey ball,,185.1110229,201.4316521,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,32,,03.03.09,,,,,
26,['588'],harvey ball,,295.5885925,311.9092216,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,33,,03.03.10,,,,,
27,['589'],harvey ball,,137.7634583,154.0840874,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,34,,03.03.11,,,,,
28,['602'],harvey ball,,279.8060608,296.1266899,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,38,,03.03.12,,,,,
29,['603'],harvey ball,,248.2411041,264.5617332,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,39,,03.03.13,,,,,
30,"['564.0.0', '564.0.1', '564.0.2']",Trend,Trend Impact onsemiconductor industry Impact onKPMG’s business lines,92.64307404,122.7934685,36,619.4468536,583.4468536,30.15039444,row,,,3.04,564,"['0.0', '0.1', '0.2']",,,
31,"['564.1.0', '564.1.1', '564.1.2', '569', '571']",Geographic diversification of supply chain,Geographic diversification of supply chain  ,122.7934647,138.5438585,36,619.4468536,583.4468536,15.75039387,row,,,3.05,564,"['1.0', '1.1', '1.2']",,,
32,['569'],harvey ball,,121.9810257,138.3016548,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,16,,03.05.01,,,,,
33,['571'],harvey ball,,121.9810257,138.3016548,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,18,,03.05.02,,,,,
34,"['564.2.0', '564.2.1', '564.2.2', '570', '589']",Industry recovery and normalization,Industry recovery and normalization  ,138.5438538,154.2942476,36,619.4468536,583.4468536,15.75039387,row,,,3.06,564,"['2.0', '2.1', '2.2']",,,
35,['570'],harvey ball,,137.7635498,154.0841789,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,17,,03.06.01,,,,,
36,['589'],harvey ball,,137.7634583,154.0840874,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,34,,03.06.02,,,,,
37,"['564.3.0', '564.3.1', '564.3.2', '572', '574']",Increased cyberthreats,Increased cyberthreats  ,154.2942505,170.0446444,36,619.4468536,583.4468536,15.75039387,row,,,3.07,564,"['3.0', '3.1', '3.2']",,,
38,['572'],harvey ball,,153.54599,169.8666191,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,19,,03.07.01,,,,,
39,['574'],harvey ball,,153.54599,169.8666191,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,21,,03.07.02,,,,,
40,"['564.4.0', '564.4.1', '564.4.2', '573', '590']",Automotive/semiconductor partnerships,Automotive/semiconductor partnerships  ,170.0446472,185.7950411,36,619.4468536,583.4468536,15.75039387,row,,,3.08,564,"['4.0', '4.1', '4.2']",,,
41,['573'],harvey ball,,169.3285065,185.6491356,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,20,,03.08.01,,,,,
42,['590'],harvey ball,,169.3285065,185.6491356,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,35,,03.08.02,,,,,
43,"['564.5.0', '564.5.1', '564.5.2', '575', '587']",Talent shortage,Talent shortage  ,185.7950439,201.5454378,36,619.4468536,583.4468536,15.75039387,row,,,3.09,564,"['5.0', '5.1', '5.2']",,,
44,['575'],harvey ball,,185.1110229,201.4316521,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,22,,03.09.01,,,,,
45,['587'],harvey ball,,185.1110229,201.4316521,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,32,,03.09.02,,,,,
46,"['564.6.0', '564.6.1', '564.6.2', '576', '586']",Innovations in manufacturing & design (incl. application of AI),Innovations in manufacturing & design (incl. application of AI)  ,201.5454407,217.2958345,36,619.4468536,583.4468536,15.75039387,row,,,3.1,564,"['6.0', '6.1', '6.2']",,,
47,['576'],harvey ball,,200.8935394,217.2141685,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,23,,03.10.01,,,,,
48,['586'],harvey ball,,200.8935394,217.2141685,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,31,,03.10.02,,,,,
49,"['564.7.0', '564.7.1', '564.7.2', '577', '585']",Advanced node technologies,Advanced node technologies  ,217.2958221,233.046216,36,619.4468536,583.4468536,15.75039387,row,,,3.11,564,"['7.0', '7.1', '7.2']",,,
50,['577'],harvey ball,,216.6760559,232.996685,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,24,,03.11.01,,,,,
51,['585'],harvey ball,,216.6760559,232.996685,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,30,,03.11.02,,,,,
52,"['564.8.0', '564.8.1', '564.8.2', '578', '584']",Demand growth from automotive sector (AV/EV),Demand growth from automotive sector (AV/EV)  ,233.0462189,248.7966127,36,619.4468536,583.4468536,15.75039387,row,,,3.12,564,"['8.0', '8.1', '8.2']",,,
53,['578'],harvey ball,,232.4585114,248.7791405,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,25,,03.12.01,,,,,
54,['584'],harvey ball,,232.4585876,248.7792168,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,29,,03.12.02,,,,,
55,"['564.9.0', '564.9.1', '564.9.2', '600', '603']",Demand growth from edge computing,Demand growth from edge computing  ,248.7966156,264.5470095,36,619.4468536,583.4468536,15.75039387,row,,,3.13,564,"['9.0', '9.1', '9.2']",,,
56,['600'],harvey ball,,248.2410278,264.561657,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,36,,03.13.01,,,,,
57,['603'],harvey ball,,248.2411041,264.5617332,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,39,,03.13.02,,,,,
58,"['564.10.0', '564.10.1', '564.10.2', '579', '583']",Demand growth from 5G / 6G,Demand growth from 5G / 6G  ,264.5469971,280.2973909,36,619.4468536,583.4468536,15.75039387,row,,,3.14,564,"['10.0', '10.1', '10.2']",,,
59,['579'],harvey ball,,264.0235291,280.3441582,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,26,,03.14.01,,,,,
60,['583'],harvey ball,,264.0235291,280.3441582,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,28,,03.14.02,,,,,
61,"['564.11.0', '564.11.1', '564.11.2', '601', '602']",Demand growth from generative AI,Demand growth from generative AI  ,280.2973938,296.0477877,36,619.4468536,583.4468536,15.75039387,row,,,3.15,564,"['11.0', '11.1', '11.2']",,,
62,['601'],harvey ball,,279.8060608,296.1266899,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,37,,03.15.01,,,,,
63,['602'],harvey ball,,279.8060608,296.1266899,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,38,,03.15.02,,,,,
64,"['564.12.0', '564.12.1', '564.12.2', '580', '588']",ESG and sustainability improvements,ESG and sustainability improvements  ,296.0477905,311.7981844,36,619.4468536,583.4468536,15.75039387,row,,,3.16,564,"['12.0', '12.1', '12.2']",,,
65,['580'],harvey ball,,295.5885925,311.9092216,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,27,,03.16.01,,,,,
66,['588'],harvey ball,,295.5885925,311.9092216,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,33,,03.16.02,,,,,
67,"['564.13.0', '564.13.1', '564.13.2', '581', '582']",Metaverse growth,Metaverse growth  ,311.7981873,327.5485811,36,619.4468536,583.4468536,15.75039387,row,,,3.17,564,"['13.0', '13.1', '13.2']",,,
68,['581'],harvey ball,,311.3710327,327.6916618,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,40,,03.17.01,,,,,
69,['582'],,,311.3710327,327.6916618,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,5,,03.17.02,,,,,
70,['564'],tbale,,92.64307404,327.5485916,36,619.4468384,583.4468384,234.9055176,individual_shape,1,,3,,,,,
71,['565'],design,,-0.007874016,33.84252119,312.5433044,720,407.4566956,33.8503952,individual_shape,2,,1,,,,,
72,['566'],logo,,373.2991333,384.7163773,642.2775879,696.189476,53.91188812,11.41724396,individual_shape,3,,41,,,,,
73,['567'],page number,1,373.2991333,386.9999208,36,79.20472336,43.20472336,13.70078754,individual_shape,4,,40,,,,,
74,['582'],,,311.3710327,327.6916618,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,5,,31,,,,,
75,['591'],,,340.2019653,359.9499187,408.8863831,428.6343365,19.74795341,19.74795341,individual_shape,6,,37,,,,,
76,['592'],,,340.2019653,359.9499187,477.7656555,497.5136089,19.74795341,19.74795341,individual_shape,7,,38,,,,,
77,['593'],,,340.2019653,359.9499187,564.6372681,584.3852215,19.74795341,19.74795341,individual_shape,8,,39,,,,,
78,['594'],leg,High,339.1704712,360.9736214,422.5574036,469.7306328,47.17322922,21.80315018,individual_shape,9,,34,,,,,
79,['595'],leg,Medium,339.1704712,360.9736214,491.9819031,559.6354446,67.65354156,21.80315018,individual_shape,10,,35,,,,,
80,['596'],leg,Low,339.1704712,360.9736214,579.3989258,621.9186096,42.51968384,21.80315018,individual_shape,11,,36,,,,,
81,['597'],,,119.9161453,189.5066986,628.7590332,628.7590332,0,69.59055328,individual_shape,12,,4,,,,,
82,['598'],leg,Impact on semiconductor industry and relevance for KPMG’s business lines are based on qualitative analyses. Impact on semiconductor industry considers likelihood and impact of each trend,328.2649536,371.8948746,28.55173302,370.551733,342,43.62992096,individual_shape,13,,32,,,,,
83,['599'],frame,,336.7311096,363.4240227,400.9655151,621.9261475,220.9606323,26.69291306,individual_shape,14,,33,,,,,
84,['568'],title,4 priority trends were identified based on impact on the industry and on KPMG’s business lines.,39.33826828,63.50362206,36,687,651,24.16535378,shape_group,15,,2,,,,1,12:29.2
85,['569'],harvey ball,,121.9810257,138.3016548,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,16,,5,,,,,
86,['570'],harvey ball,,137.7635498,154.0841789,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,17,,9,,,,,
87,['571'],harvey ball,,121.9810257,138.3016548,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,18,,6,,,,,
88,['572'],harvey ball,,153.54599,169.8666191,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,19,,11,,,,,
89,['573'],harvey ball,,169.3285065,185.6491356,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,20,,13,,,,,
90,['574'],harvey ball,,153.54599,169.8666191,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,21,,10,,,,,
91,['575'],harvey ball,,185.1110229,201.4316521,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,22,,14,,,,,
92,['576'],harvey ball,,200.8935394,217.2141685,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,23,,16,,,,,
93,['577'],harvey ball,,216.6760559,232.996685,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,24,,18,,,,,
94,['578'],harvey ball,,232.4585114,248.7791405,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,25,,20,,,,,
95,['579'],harvey ball,,264.0235291,280.3441582,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,26,,24,,,,,
96,['580'],harvey ball,,295.5885925,311.9092216,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,27,,28,,,,,
97,['583'],harvey ball,,264.0235291,280.3441582,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,28,,25,,,,,
98,['584'],harvey ball,,232.4585876,248.7792168,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,29,,21,,,,,
99,['585'],harvey ball,,216.6760559,232.996685,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,30,,19,,,,,
100,['586'],harvey ball,,200.8935394,217.2141685,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,31,,17,,,,,
101,['587'],harvey ball,,185.1110229,201.4316521,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,32,,15,,,,,
102,['588'],harvey ball,,295.5885925,311.9092216,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,33,,29,,,,,
103,['589'],harvey ball,,137.7634583,154.0840874,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,34,,8,,,,,
104,['590'],harvey ball,,169.3285065,185.6491356,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,35,,12,,,,,
105,['600'],harvey ball,,248.2410278,264.561657,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,36,,22,,,,,
106,['601'],harvey ball,,279.8060608,296.1266899,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,37,,26,,,,,
107,['602'],harvey ball,,279.8060608,296.1266899,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,38,,27,,,,,
108,['603'],harvey ball,,248.2411041,264.5617332,532.8953247,549.2159538,16.32062912,16.32062912,individual_shape,39,,23,,,,,
109,['581'],harvey ball,,311.3710327,327.6916618,384.53125,400.8518791,16.32062912,16.32062912,individual_shape,40,,30,,,,,
