test_index,index,label,shape_id,section_type,start_char,end_char,cells,text,top,left,right,bottom,width,height,slide_height,slide_width
20,04.01.02.04,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.02.05,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.02.06,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.03,"Vendor creation(Only needed for new vendors)","[""76.2.0""\, ""76.2.1""\, ""76.2.2""\, ""76.2.3""\, ""76.2.4""\, ""76.2.5""\, ""71""]",row,,,"[""2.0""\, ""2.1""\, ""2.2""\, ""2.3""\, ""2.4""\, ""2.5""]","Vendor creation(Only needed for new vendors)     ",148.8,66.0,684.0,187.8,618.0,39.0,405.0,720.0
20,04.01.03.01,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04,"P2P","[""76.3.0""\, ""76.3.1""\, ""76.3.2""\, ""76.3.3""\, ""76.3.4""\, ""76.3.5""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""67""\, ""69""\, ""57""\, ""99""\, ""75""\, ""113""]",row,,,"[""3.0""\, ""3.1""\, ""3.2""\, ""3.3""\, ""3.4""\, ""3.5""]","P2P     ",187.8,66.0,684.0,349.32,618.0,161.52,405.0,720.0
20,04.01.04.01,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.02,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.03,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.04,"Process - external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.05,"Process - external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.06,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.07,"Process - external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.08,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.09,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.10,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.11,"Arrow / connector","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.12,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.13,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.14,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.15,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.16,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.17,"Process - no external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
20,04.01.04.18,"Process - external endpoint","[""76""\, ""83""\, ""85""\, ""37""\, ""34""\, ""73""\, ""79""\, ""169""\, ""174""\, ""116""\, ""9""\, ""127""\, ""128""\, ""130""\, ""131""\, ""142""\, ""62""\, ""63""\, ""64""\, ""65""\, ""66""\, ""67""\, ""68""\, ""69""\, ""71""\, ""57""\, ""99""\, ""75""\, ""113""]",shape_group,,,"","Vendor: Invoice generation\
\
\
Vendor: PO receipt\
\
\
Vendor: Payment receipt\
\
\
Vendor: Credit app. processing \
\
\
Vendor: Credit app. approval \
\
\
Invoice receipt\
\
\
PO generation\
\
\
Payment approval\
\
\
PR generation \
\
\
Approval notice\
\
\
Invoice verification\
\
\
Credit application \
\
\
PO approval\
\
\
Vendor creation\
\
\
3PL: RM receipt & storage conf.\
\
\
PR generation (on GHQ)\
\
\
Only needed for OpEx (on Day 1)",66.18,66.0,684.0,349.32,618.0,283.14,405.0,720.0
